filename,animal_id,perc_cor_stop,perc_cor_gos,go_mt,stop_mt,st_er_mt,go_er_mt,perc_cor_stop_L,perc_cor_go_L,perc_cor_stop_R,perc_cor_go_R,first_light,go_lf_mt,go_rt_mt,st_lf_mt,stop_rt_mt,scrt_idx
dw01081315,dw01,0.681818182,0.691642651,0.559563125,0.700021667,0.459745238,0.551186916,0.567567568,0.619791667,0.827586207,0.780645161,0.286487107,0.584755882,0.534786777,0.729365476,0.674345833,0.140458542
dw01081315,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081315,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081315,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081315,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081415,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081415,dw01,0.637168142,0.715469613,0.563405792,0.784070486,0.591332317,0.548119417,0.618181818,0.735632184,0.655172414,0.696808511,0.374317105,0.548443164,0.578025763,0.792251471,0.776750658,0.220664695
dw01081415,dw01,0.661764706,0.754098361,0.713716033,0.824871111,0.734272826,0.781532083,0.666666667,0.808333333,0.653846154,0.701612903,0.469954968,0.668934794,0.76364454,0.715513393,1.004989706,0.111155079
dw01081415,dw01,0.62962963,0.637393768,0.623740222,0.779702574,0.643873125,0.629226563,0.603773585,0.635294118,0.654545455,0.639344262,0.415475759,0.556025694,0.68624594,0.753296875,0.803174306,0.155962351
dw01081415,dw01,0.62962963,0.637393768,0.623740222,0.779702574,0.643873125,0.629226563,0.603773585,0.635294118,0.654545455,0.639344262,0.415475759,0.556025694,0.68624594,0.753296875,0.803174306,0.155962351
dw01081415,dw01,0.62962963,0.637393768,0.623740222,0.779702574,0.643873125,0.629226563,0.603773585,0.635294118,0.654545455,0.639344262,0.415475759,0.556025694,0.68624594,0.753296875,0.803174306,0.155962351
dw01081815,dw01,0.62962963,0.637393768,0.623740222,0.779702574,0.643873125,0.629226563,0.603773585,0.635294118,0.654545455,0.639344262,0.415475759,0.556025694,0.68624594,0.753296875,0.803174306,0.155962351
dw01081815,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081815,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081915,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081915,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081915,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081915,dw01,0.554455446,0.653198653,0.501998067,0.597782589,0.508290556,0.584334223,0.457627119,0.568862275,0.69047619,0.761538462,0.395090452,0.45672,0.545446717,0.568712963,0.624847414,0.095784522
dw01081915,dw01,0.565517241,0.681381958,0.508390211,0.598275,0.500355242,0.583406132,0.494117647,0.629370629,0.677966102,0.76754386,0.372838792,0.527234444,0.489007571,0.564132738,0.634124375,0.089884789
dw01081915,dw01,0.565517241,0.681381958,0.508390211,0.598275,0.500355242,0.583406132,0.494117647,0.629370629,0.677966102,0.76754386,0.372838792,0.527234444,0.489007571,0.564132738,0.634124375,0.089884789
dw01081915,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01081915,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01081915,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01081915,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01082015,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01082015,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01082015,dw01,0.577981651,0.677777778,0.457839344,0.539859921,0.464525543,0.504123491,0.516129032,0.64893617,0.659574468,0.709302326,0.412289659,0.450522541,0.465156148,0.4919125,0.589354032,0.082020576
dw01082115,dw01,0.744680851,0.760217984,0.476976971,0.622572857,0.350597917,0.547211648,0.837209302,0.770491803,0.666666667,0.75,0.342535141,0.448318262,0.506258696,0.638090972,0.606141912,0.145595886
dw01082115,dw01,0.744680851,0.760217984,0.476976971,0.622572857,0.350597917,0.547211648,0.837209302,0.770491803,0.666666667,0.75,0.342535141,0.448318262,0.506258696,0.638090972,0.606141912,0.145595886
dw01082115,dw01,0.744680851,0.760217984,0.476976971,0.622572857,0.350597917,0.547211648,0.837209302,0.770491803,0.666666667,0.75,0.342535141,0.448318262,0.506258696,0.638090972,0.606141912,0.145595886
