animal_id,trial_type,perc_cor,mt,er_mt
dw01,go,0.744939271,0.501765625,0.552214286
dw01,go,0.744939271,0.501765625,0.552214286
dw01,go,0.744939271,0.501765625,0.552214286
dw01,go,0.75,0.506266993,0.582605392
dw01,go,0.75,0.506266993,0.582605392
dw01,go,0.75,0.506266993,0.582605392
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.686170213,0.500032655,0.552073922
dw01,go,0.769491525,0.498825661,0.549444615
dw01,go,0.753246753,0.48391954,0.510674561
dw01,go,0.753246753,0.48391954,0.510674561
dw01,go,0.753246753,0.48391954,0.510674561
dw01,go,0.753246753,0.48391954,0.510674561
dw01,go,0.753246753,0.48391954,0.510674561
dw01,go,0.752066116,0.453466758,0.452796667
dw01,go,0.738410596,0.643434978,0.698752848
dw01,go,0.738410596,0.643434978,0.698752848
dw01,go,0.676056338,0.526316875,0.609367391
dw01,go,0.676056338,0.526316875,0.609367391
dw01,go,0.676056338,0.526316875,0.609367391
dw01,go,0.676056338,0.526316875,0.609367391
dw01,go,0.691642651,0.559563125,0.551186916
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.715469613,0.563405792,0.548119417
dw01,go,0.754098361,0.713716033,0.781532083
dw01,go,0.637393768,0.623740222,0.629226563
dw01,go,0.637393768,0.623740222,0.629226563
dw01,go,0.637393768,0.623740222,0.629226563
dw01,go,0.637393768,0.623740222,0.629226563
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.653198653,0.501998067,0.584334223
dw01,go,0.681381958,0.508390211,0.583406132
dw01,go,0.681381958,0.508390211,0.583406132
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.677777778,0.457839344,0.504123491
dw01,go,0.760217984,0.476976971,0.547211648
dw01,go,0.760217984,0.476976971,0.547211648
dw01,go,0.760217984,0.476976971,0.547211648
dw01,go,0.760217984,0.476976971,0.547211648
dw01,go,0.754940711,0.511964529,0.507682258
dw01,go,0.751131222,0.466188855,0.533367593
dw01,go,0.7475,0.555929431,0.637756931
dw01,go,0.7475,0.555929431,0.637756931
dw01,go,0.87195122,0.520946853,0.599614286
dw01,go,0.87195122,0.520946853,0.599614286
dw01,go,0.87195122,0.520946853,0.599614286
dw01,go,0.807228916,0.365202114,0.426205319
dw01,go,0.807228916,0.365202114,0.426205319
dw01,go,0.807228916,0.365202114,0.426205319
dw01,go,0.807228916,0.365202114,0.426205319
dw01,go,0.807228916,0.365202114,0.426205319
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.688571429,0.424503008,0.423754398
dw01,go,0.746411483,0.512639744,0.468729327
dw01,go,0.746411483,0.512639744,0.468729327
dw01,go,0.746411483,0.512639744,0.468729327
dw01,go,0.746411483,0.512639744,0.468729327
dw01,go,0.804794521,0.631295745,0.663457895
dw01,go,0.789808917,0.447826815,0.443669697
dw01,go,0.789808917,0.447826815,0.443669697
